rank,value,frequency
1,2,418820
2,3,382935
3,4,350735
4,5,314973
5,6,292293
6,7,272687
7,8,250499
8,9,234653
9,10,219196
10,11,196436
11,12,182605
12,13,168776
13,14,154288
14,15,149633
15,16,132556
16,17,126737
17,18,119043
18,19,109636
19,20,102196
20,21,96200
21,22,88748
22,23,86350
23,24,80974
24,25,73721
25,26,67744
26,27,67388
27,28,63492
28,29,60279
29,30,54356
30,31,52969
31,32,48123
32,33,47023
33,34,42487
34,35,41736
35,36,40126
36,37,37672
37,38,35419
38,39,34080
39,40,31790
40,41,31301
41,42,28983
42,44,27449
43,43,26925
44,45,25694
45,46,25108
46,47,23139
47,48,22243
48,49,21245
49,50,20971
50,51,20171
51,52,19347
52,53,17819
53,54,16834
54,55,16039
55,56,15587
56,58,15327
57,57,15159
58,59,14052
59,60,13562
60,62,13313
61,61,13028
62,1,12009
63,64,11919
64,63,11788
65,66,11580
66,65,10964
67,67,10679
68,68,9985
69,69,9957
70,70,9543
71,73,8692
72,71,8626
73,75,8225
74,74,8197
75,72,7893
76,76,7187
77,78,7101
78,77,7090
79,81,7046
80,80,6930
81,79,6830
82,83,6292
83,82,6211
84,85,5994
85,84,5899
86,87,5893
87,88,5532
88,86,5425
89,89,5345
90,90,4995
91,92,4987
92,94,4847
93,91,4699
94,95,4544
95,93,4459
96,98,4357
97,96,4224
98,99,4088
99,100,3965
100,102,3894
