rank,value,frequency
1,2852610,193
2,2277445,182
3,2220400,180
4,322380,178
5,502037,170
6,2220314,170
7,3096343,170
8,150784,169
9,2778729,169
10,3068544,169
11,1805090,167
12,430935,166
13,2314591,166
14,3338544,166
15,1763593,165
16,1984430,165
17,2819025,164
18,1662804,163
19,1805113,163
20,3274825,163
21,256863,162
22,150887,161
23,502060,161
24,995989,159
25,1763491,158
26,2905646,158
27,2819196,157
28,1804820,156
29,1805048,156
30,2535310,156
31,1097050,155
32,2065498,155
33,3007705,154
34,923989,153
35,1797888,153
36,1908673,153
37,3131935,153
38,1130481,152
39,198113,151
40,168847,150
41,215108,150
42,2064485,150
43,2099623,150
44,2556549,150
45,2819263,150
46,191760,149
47,936607,149
48,1402663,149
49,954772,148
50,1797930,148
51,2582151,148
52,2819005,148
53,190551,147
54,257119,147
55,1179346,147
56,2299292,147
57,3267016,147
58,191719,146
59,839336,146
60,1036767,146
61,1662644,146
62,2299437,146
63,819145,145
64,1439847,145
65,1491906,145
66,1180714,144
67,2027321,144
68,2967367,144
69,3289298,144
70,285581,143
71,1575085,143
72,1763599,143
73,2064401,143
74,2528276,143
75,2708336,143
76,3266478,143
77,131442,142
78,191932,142
79,257466,142
80,324849,142
81,430914,142
82,1051263,142
83,253017,141
84,331254,141
85,1010089,141
86,2412053,141
87,2556573,141
88,2651200,141
89,2967485,141
90,3007819,141
91,3327431,141
92,1887335,140
93,2411178,140
94,2761455,140
95,3194653,140
96,191071,139
97,214913,139
98,1051008,139
99,1385485,139
100,1440075,139
