rank,value,frequency
1,2,9685
2,3,6743
3,4,5571
4,5,5081
5,7,4387
6,6,4264
7,8,3922
8,10,3370
9,11,3128
10,9,2991
11,12,2812
12,13,2488
13,15,2424
14,16,2395
15,14,2298
16,17,1976
17,18,1906
18,21,1716
19,19,1662
20,22,1647
21,20,1534
22,24,1502
23,25,1424
24,23,1376
25,30,1341
26,27,1328
27,29,1316
28,26,1296
29,34,1197
30,28,1124
31,33,1110
32,32,1074
33,35,1065
34,31,1012
35,37,878
36,39,859
37,36,847
38,40,793
39,41,784
40,42,762
41,48,750
42,44,721
43,38,716
44,45,715
45,61,680
46,43,679
47,49,662
48,51,640
49,53,622
50,47,616
51,56,605
52,50,599
53,52,584
54,62,580
55,55,576
56,58,564
57,60,560
58,46,516
59,54,502
60,66,493
61,57,481
62,64,477
63,59,462
64,83,456
65,1023,431
66,71,425
67,69,417
68,63,404
69,65,404
70,67,403
71,79,403
72,75,379
73,88,375
74,72,371
75,84,353
76,85,352
77,68,351
78,73,344
79,77,344
80,70,330
81,80,312
82,74,307
83,90,304
84,94,304
85,81,300
86,86,299
87,78,296
88,93,294
89,89,289
90,87,287
91,1,282
92,111,274
93,76,267
94,91,267
95,100,267
96,103,265
97,82,259
98,92,254
99,114,251
100,104,245
