rank,value,frequency
1,458151,307
2,458941,294
3,458948,285
4,465048,262
5,467572,239
6,457317,238
7,459436,236
8,464781,235
9,457285,234
10,459420,205
11,462046,196
12,492242,158
13,458839,152
14,455878,147
15,457385,134
16,492161,122
17,459414,120
18,457374,115
19,458953,107
20,493177,103
21,458135,100
22,490064,97
23,492255,94
24,457302,93
25,453381,90
26,455728,90
27,455877,87
28,458111,85
29,463268,85
30,492158,83
31,462074,82
32,458831,79
33,489159,79
34,455741,77
35,455752,77
36,455854,76
37,447331,74
38,492200,73
39,457274,72
40,457351,71
41,457257,69
42,455632,68
43,493019,67
44,441290,65
45,293717,64
46,489398,64
47,492206,64
48,461834,63
49,451397,61
50,514093,61
51,101184,59
52,452860,59
53,455717,59
54,220385,58
55,467576,58
56,492176,57
57,494493,57
58,140230,56
59,450011,56
60,492211,56
61,644498,56
62,459404,55
63,7839,54
64,8029,54
65,455749,54
66,458943,54
67,92016,53
68,220248,53
69,261203,53
70,243111,52
71,457337,52
72,492201,52
73,168798,51
74,446701,51
75,459441,51
76,461800,51
77,465047,51
78,465052,51
79,7688,50
80,75164,50
81,213652,50
82,243002,50
83,441599,50
84,32453,49
85,43167,49
86,91414,49
87,178033,49
88,178368,49
89,193887,49
90,457315,49
91,459412,49
92,492224,49
93,492258,49
94,8069,48
95,60216,48
96,75228,48
97,257650,48
98,455818,48
99,467574,48
100,485379,48
