rank,value,frequency
1,1023,64700
2,542,3426
3,425,2632
4,53,746
5,679,653
6,241,521
7,424,492
8,131,470
9,294,458
10,610,407
11,203,335
12,137,326
13,482,278
14,556,269
15,108,268
16,3,266
17,319,254
18,22,242
19,72,240
20,200,239
21,322,239
22,768,239
23,223,238
24,104,236
25,360,236
26,48,234
27,143,234
28,500,234
29,40,233
30,264,230
31,310,230
32,328,229
33,159,228
34,266,228
35,42,227
36,290,227
37,47,226
38,144,226
39,232,226
40,735,225
41,66,224
42,86,224
43,468,224
44,54,223
45,80,223
46,127,223
47,255,223
48,400,223
49,79,222
50,2,221
51,78,221
52,84,220
53,150,220
54,188,220
55,191,220
56,208,220
57,226,220
58,368,220
59,488,220
60,502,220
61,662,220
62,688,219
63,20,218
64,142,218
65,180,218
66,220,218
67,252,218
68,304,218
69,399,218
70,8,217
71,46,217
72,367,217
73,418,217
74,534,217
75,714,217
76,214,216
77,111,215
78,112,215
79,174,215
80,272,215
81,380,215
82,392,215
83,398,215
84,16,214
85,194,214
86,238,214
87,278,214
88,287,214
89,308,214
90,520,214
91,118,213
92,129,213
93,239,213
94,270,213
95,296,213
96,302,213
97,427,213
98,130,212
99,138,212
100,343,212
