rank,value,frequency
1,177942,44984
2,18907,6926
3,85074,6910
4,57190,2170
5,134660,2059
6,82126,1497
7,152254,1395
8,237569,1304
9,43815,1225
10,188736,1204
11,19017,1144
12,52821,1115
13,124337,733
14,188788,599
15,120251,596
16,144207,573
17,164807,566
18,68605,558
19,111597,499
20,167416,462
21,5572,459
22,71667,448
23,95126,447
24,257350,424
25,130983,422
26,83886,419
27,108329,411
28,128962,392
29,114437,355
30,136892,352
31,183625,340
32,35827,323
33,145160,294
34,120305,283
35,213684,279
36,211305,277
37,182644,275
38,27290,267
39,77136,264
40,94134,258
41,189343,253
42,237994,252
43,5998,241
44,178346,241
45,183200,239
46,244132,235
47,16698,211
48,37585,208
49,2884,207
50,19450,204
51,265035,202
52,137572,200
53,213720,190
54,227670,190
55,138466,189
56,124763,188
57,178265,186
58,126168,183
59,30253,181
60,267820,176
61,142226,173
62,130905,165
63,61559,163
64,8526,154
65,146501,154
66,141457,151
67,11082,149
68,122509,147
69,146638,146
70,123258,142
71,151618,142
72,74518,141
73,185701,141
74,33244,140
75,37010,138
76,239027,138
77,141456,129
78,192542,128
79,4389,127
80,190783,127
81,79558,126
82,175141,122
83,106028,121
84,219330,121
85,210616,120
86,196423,117
87,213691,117
88,188310,115
89,177955,114
90,112678,113
91,30696,110
92,178006,110
93,178127,106
94,11061,105
95,30254,103
96,103196,103
97,178266,103
98,229086,102
99,178057,98
100,202719,97
