rank,value,frequency
1,11,300048
2,10,296751
3,12,290041
4,9,278248
5,13,270117
6,8,250074
7,14,242993
8,7,216496
9,15,209616
10,2,197746
11,6,179145
12,16,178218
13,17,147168
14,5,146235
15,18,118762
16,4,118444
17,3,116241
18,19,94239
19,20,74417
20,21,60395
21,22,49270
22,23,40720
23,24,34469
24,25,29981
25,26,26034
26,1023,23920
27,27,22829
28,28,20372
29,29,18076
30,30,16367
31,31,14258
32,32,12624
33,33,10756
34,34,9697
35,35,8227
36,1,8098
37,36,7363
38,37,6492
39,38,5733
40,39,4742
41,40,4237
42,41,3923
43,42,3526
44,43,3164
45,44,2716
46,45,2500
47,46,2313
48,47,2154
49,48,1896
50,49,1704
51,50,1601
52,51,1509
53,52,1416
54,53,1266
55,54,1223
56,55,1076
57,56,1010
58,57,989
59,58,869
60,59,854
61,61,803
62,60,799
63,62,720
64,64,716
65,63,697
66,65,603
67,66,593
68,69,582
69,67,551
70,68,532
71,72,522
72,71,506
73,70,496
74,73,488
75,74,475
76,75,438
77,76,433
78,77,427
79,79,404
80,78,399
81,80,387
82,81,384
83,82,369
84,83,359
85,85,355
86,87,350
87,84,347
88,89,324
89,86,321
90,90,317
91,88,315
92,91,307
93,97,300
94,93,298
95,96,291
96,95,275
97,92,271
98,98,262
99,94,261
100,100,261
