rank,value,frequency
1,35435303,25
2,42407700,22
3,22232910,20
4,29556376,20
5,41826366,20
6,49770582,20
7,51445106,20
8,14725274,19
9,47935311,19
10,48096581,19
11,52875411,19
12,53254387,19
13,4722092,18
14,5796581,18
15,15424887,18
16,20250761,18
17,25694000,18
18,29426089,18
19,33391436,18
20,33940913,18
21,42175776,18
22,88484,17
23,2516287,17
24,4191806,17
25,6041837,17
26,6740138,17
27,8910504,17
28,9233467,17
29,13414669,17
30,24339561,17
31,27986517,17
32,28572065,17
33,38244671,17
34,49557361,17
35,52629685,17
36,236491,16
37,2020325,16
38,3388006,16
39,3486804,16
40,3664207,16
41,8892474,16
42,9268144,16
43,11885935,16
44,11988668,16
45,18058659,16
46,18288112,16
47,34474403,16
48,34894396,16
49,36684976,16
50,39069206,16
51,40947107,16
52,42365342,16
53,43486411,16
54,45123166,16
55,46653181,16
56,47575342,16
57,47899458,16
58,51291250,16
59,52910999,16
60,502948,15
61,711473,15
62,2388726,15
63,3443616,15
64,3629226,15
65,4506010,15
66,4557436,15
67,5716669,15
68,10293237,15
69,11015361,15
70,11344580,15
71,11803376,15
72,11884652,15
73,15278757,15
74,17732892,15
75,18311208,15
76,18312265,15
77,18916537,15
78,20464474,15
79,21164467,15
80,21578572,15
81,22749790,15
82,24314165,15
83,24885858,15
84,26368864,15
85,27570079,15
86,27619761,15
87,28167933,15
88,33317448,15
89,33601652,15
90,33663054,15
91,33671969,15
92,33691420,15
93,35684299,15
94,36435632,15
95,38195058,15
96,38854404,15
97,42637523,15
98,46016344,15
99,47479965,15
100,47490491,15
