rank,value,frequency
1,1023,17645
2,2,15335
3,3,9089
4,4,6552
5,6,5508
6,5,5229
7,9,3492
8,7,3189
9,14,2953
10,8,2761
11,13,2757
12,12,2492
13,24,2287
14,21,2283
15,11,2234
16,18,2228
17,28,2113
18,27,2062
19,16,2050
20,10,2028
21,30,2019
22,20,1863
23,32,1783
24,48,1743
25,15,1723
26,33,1668
27,50,1658
28,37,1645
29,19,1634
30,31,1623
31,17,1581
32,81,1536
33,45,1475
34,29,1471
35,36,1471
36,39,1468
37,43,1467
38,46,1366
39,61,1337
40,93,1335
41,47,1321
42,26,1303
43,35,1300
44,65,1268
45,34,1256
46,22,1235
47,49,1232
48,51,1227
49,56,1204
50,60,1195
51,52,1150
52,75,1150
53,82,1148
54,122,1133
55,38,1113
56,42,1113
57,127,1110
58,23,1100
59,44,1095
60,25,1075
61,41,1074
62,90,1074
63,164,1068
64,62,1058
65,53,1057
66,69,1007
67,63,1005
68,64,1005
69,67,1003
70,79,1000
71,68,999
72,102,994
73,95,973
74,71,972
75,121,968
76,57,967
77,104,957
78,59,933
79,58,929
80,156,917
81,119,915
82,66,914
83,97,912
84,103,908
85,118,905
86,40,888
87,85,888
88,141,888
89,228,879
90,100,867
91,125,864
92,54,847
93,114,840
94,72,835
95,320,835
96,73,832
97,96,832
98,89,831
99,150,829
100,203,821
