rank,value,frequency
1,2,636655
2,3,425876
3,4,256490
4,5,194786
5,6,139948
6,7,115592
7,8,90866
8,9,77322
9,10,63606
10,11,55731
11,12,47151
12,13,41908
13,14,36264
14,15,32791
15,16,28410
16,17,25982
17,18,22729
18,19,21030
19,1023,18878
20,20,18421
21,21,17133
22,22,15465
23,23,13949
24,24,12768
25,25,11729
26,26,10552
27,27,10013
28,28,8906
29,29,8611
30,30,7692
31,31,7324
32,32,6630
33,33,6108
34,34,5654
35,35,5432
36,1,4979
37,36,4909
38,37,4602
39,38,4177
40,39,4036
41,40,3716
42,41,3580
43,42,3306
44,43,3108
45,44,2839
46,45,2804
47,46,2551
48,47,2431
49,48,2350
50,49,2192
51,50,2057
52,51,1839
53,52,1825
54,53,1671
55,55,1563
56,54,1552
57,56,1401
58,57,1374
59,58,1259
60,59,1247
61,60,1148
62,61,1143
63,62,1082
64,63,1036
65,64,996
66,65,914
67,66,850
68,68,838
69,67,835
70,69,775
71,70,723
72,71,693
73,72,659
74,73,649
75,74,598
76,75,572
77,76,555
78,77,539
79,79,529
80,78,507
81,80,453
82,83,451
83,81,435
84,82,425
85,84,400
86,87,381
87,85,368
88,86,362
89,88,358
90,90,318
91,89,307
92,91,302
93,96,299
94,92,293
95,95,278
96,94,269
97,98,261
98,93,254
99,97,251
100,99,242
