rank,value,frequency
1,24835792,1099
2,23412457,1088
3,27438516,962
4,7185539,956
5,26206763,920
6,32960751,871
7,31435636,818
8,26490592,653
9,11661544,635
10,2364113,606
11,3564736,536
12,29532743,515
13,31402488,478
14,1745887,436
15,22549395,415
16,11698287,413
17,10942201,389
18,17467463,386
19,25485579,374
20,3238500,351
21,30463152,336
22,16695711,335
23,22311149,329
24,22814350,307
25,20732526,306
26,22654049,303
27,34527924,296
28,16119976,294
29,32123954,289
30,30467402,286
31,21262501,282
32,31401662,281
33,20545181,250
34,31721128,243
35,30920131,242
36,23515054,235
37,21272646,233
38,20721801,227
39,28323793,221
40,30778745,212
41,14865506,209
42,23056684,204
43,20198944,200
44,30913409,200
45,21169623,199
46,29040328,198
47,2783461,191
48,13907609,179
49,26994261,179
50,30826955,170
51,33766038,170
52,22687694,167
53,20724536,166
54,30640385,160
55,21288532,158
56,19815845,157
57,33126170,156
58,2248237,149
59,27210546,147
60,1107738,145
61,16302824,145
62,26708220,145
63,16359208,135
64,28761165,132
65,34386148,132
66,20901012,127
67,15923356,126
68,27662046,120
69,22837368,119
70,22896916,118
71,20588295,114
72,22288777,114
73,8109800,113
74,3861176,112
75,22854811,111
76,16359312,110
77,18312859,109
78,31051346,107
79,33770208,107
80,32030861,103
81,13929567,101
82,16407531,99
83,29364764,98
84,26158892,97
85,16929691,96
86,19702155,96
87,22578225,96
88,9460835,93
89,30914800,93
90,16280567,91
91,17159636,90
92,21167743,90
93,28428026,90
94,24864132,89
95,27257772,87
96,3848007,86
97,20789564,86
98,8934670,84
99,5927261,83
100,15042689,83
