rank,value,frequency
1,2,6318
2,3,4124
3,4,3612
4,5,3159
5,7,2873
6,6,2852
7,8,2554
8,12,2448
9,9,2440
10,10,2416
11,11,2269
12,13,2054
13,14,1969
14,17,1848
15,15,1798
16,18,1737
17,16,1707
18,22,1700
19,21,1699
20,19,1692
21,52,1643
22,24,1607
23,20,1535
24,53,1454
25,31,1336
26,25,1333
27,32,1282
28,23,1275
29,34,1252
30,26,1241
31,28,1186
32,40,1182
33,27,1147
34,51,1136
35,54,1133
36,29,1125
37,45,1118
38,36,1087
39,39,1062
40,33,1045
41,42,1035
42,48,1019
43,30,966
44,41,964
45,46,954
46,55,950
47,50,941
48,35,933
49,37,916
50,44,904
51,43,850
52,38,820
53,1023,816
54,47,790
55,49,756
56,56,701
57,59,700
58,62,694
59,57,677
60,72,622
61,68,613
62,63,605
63,58,600
64,61,590
65,64,572
66,65,550
67,66,548
68,69,538
69,76,538
70,60,535
71,74,532
72,94,512
73,67,511
74,83,485
75,82,483
76,81,482
77,71,466
78,73,448
79,103,448
80,75,443
81,78,440
82,99,432
83,106,420
84,80,394
85,105,394
86,79,393
87,96,385
88,104,381
89,70,379
90,77,379
91,84,374
92,92,371
93,93,359
94,95,357
95,89,354
96,90,349
97,86,343
98,85,336
99,87,318
100,102,316
