rank,value,frequency
1,505543,78
2,65505,73
3,243086,65
4,484192,65
5,522547,65
6,522894,64
7,152408,63
8,202758,63
9,490954,63
10,36060,62
11,464057,61
12,480125,61
13,467705,59
14,21463,58
15,132654,58
16,133030,58
17,501368,58
18,509241,58
19,31279,57
20,467984,57
21,433983,56
22,434708,56
23,450365,56
24,468062,56
25,503431,56
26,523637,56
27,408453,55
28,514168,55
29,4005,54
30,480645,54
31,519192,54
32,35213,53
33,198325,53
34,466968,53
35,501553,53
36,21599,52
37,189794,52
38,366139,52
39,437172,51
40,502183,51
41,8905,50
42,167774,50
43,191097,50
44,433053,50
45,434560,50
46,742,49
47,65460,49
48,66919,49
49,67002,49
50,518791,49
51,519587,49
52,13550,48
53,18951,48
54,19734,48
55,20711,48
56,21868,48
57,32592,48
58,124209,48
59,147226,48
60,154336,48
61,198628,48
62,296127,48
63,424868,48
64,434979,48
65,472627,48
66,505618,48
67,8997,47
68,13566,47
69,13656,47
70,85970,47
71,244422,47
72,258680,47
73,344219,47
74,433164,47
75,434399,47
76,435276,47
77,435572,47
78,435626,47
79,435811,47
80,503245,47
81,504829,47
82,512033,47
83,32674,46
84,35434,46
85,140568,46
86,187916,46
87,269346,46
88,361681,46
89,433723,46
90,451030,46
91,472207,46
92,505683,46
93,506318,46
94,523099,46
95,15952,45
96,21442,45
97,33846,45
98,50630,45
99,191511,45
100,194798,45
