dataset,method,codec,index_MiB,build_wall_seconds,build_time_ns,max_rss_kb_time_v,note
boost,Move-r,raw,1.522,13.344,13306988621,3084064,
boost,Move-r-RLZ,raw,5.503,13.866,13718897923,3094604,
boost,Move-r-LZEnd,raw,1.915,723.723,723594092740,13813304,
boost,Adaptive-Mixed@25%-raw,raw,7.055,14.185,13955896991,3099060,
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,4.522,0.000,,,written as varint-v2 copy from raw adaptive build
boost,Adaptive-Mixed@12.5%-raw,raw,4.748,14.185,13980137144,3097688,
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,3.499,0.000,,,written as varint-v2 copy from raw adaptive build
einstein.en.txt,Move-r,raw,6.763,11.280,11237000259,2307368,
einstein.en.txt,Move-r-RLZ,raw,22.127,11.865,11746140647,2340456,
einstein.en.txt,Move-r-LZEnd,raw,8.323,742.539,742428786125,10266356,
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,18.869,12.218,11930225062,2351784,
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,16.147,0.000,,,written as varint-v2 copy from raw adaptive build
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,15.238,12.194,11971820167,2351800,
einstein.en.txt,Adaptive-Mixed@12.5%-varint-v2,varint-v2,13.919,0.000,,,written as varint-v2 copy from raw adaptive build
SARS-Cov-2_40,Move-r,raw,3.317,0.741,728595470,220768,
SARS-Cov-2_40,Move-r-RLZ,raw,8.457,0.783,760002110,235952,
SARS-Cov-2_40,Move-r-LZEnd,raw,4.307,40.167,40143765836,923828,
SARS-Cov-2_40,Adaptive-Mixed@25%-raw,raw,7.562,0.895,820739566,240964,
SARS-Cov-2_40,Adaptive-Mixed@25%-varint-v2,varint-v2,6.925,0.000,,,written as varint-v2 copy from raw adaptive build
SARS-Cov-2_40,Adaptive-Mixed@12.5%-raw,raw,6.812,0.846,787622384,243416,
SARS-Cov-2_40,Adaptive-Mixed@12.5%-varint-v2,varint-v2,6.450,0.000,,,written as varint-v2 copy from raw adaptive build
world_leaders,Move-r,raw,13.423,0.689,671205371,267324,
world_leaders,Move-r-RLZ,raw,26.209,1.207,1167431429,310712,
world_leaders,Move-r-LZEnd,raw,16.431,40.028,39999223438,1051520,
world_leaders,Adaptive-Mixed@25%-raw,raw,16.630,1.197,1121787109,319564,
world_leaders,Adaptive-Mixed@25%-varint-v2,varint-v2,16.187,0.000,,,written as varint-v2 copy from raw adaptive build
world_leaders,Adaptive-Mixed@12.5%-raw,raw,15.965,1.116,1053890198,318420,
world_leaders,Adaptive-Mixed@12.5%-varint-v2,varint-v2,15.749,0.000,,,written as varint-v2 copy from raw adaptive build
DNA,Move-r,raw,28.914,11.963,11912075871,3143064,
DNA,Move-r-RLZ,raw,193.123,19.058,18839174006,3567124,
DNA,Move-r-LZEnd,raw,55.399,835.738,835556985517,13870216,
DNA,Adaptive-Mixed@25%-raw,raw,94.139,20.544,18610311576,3565504,
DNA,Adaptive-Mixed@25%-varint-v2,varint-v2,75.902,0.000,,,written as varint-v2 copy from raw adaptive build
DNA,Adaptive-Mixed@12.5%-raw,raw,69.176,20.001,18931057608,3584084,
DNA,Adaptive-Mixed@12.5%-varint-v2,varint-v2,59.917,0.000,,,written as varint-v2 copy from raw adaptive build
