dataset,method,codec,workload,index_MiB,theta_rlz,ns_per_pattern_min,ns_per_pattern_median,ns_per_pattern_max,speedup_vs_Move_r,num_patterns,num_occurrences,occurrence_checksum,RLZSA_occ_percent,correctness
boost,Move-r,raw,m8,1.522,,7682863.9,7707236.5,7755184.7,1.000,500,1700376029,537021464512842981,,PASS
boost,Move-r,raw,m100,1.522,,8354.9,8395.3,8525.0,1.000,500,1489409,451960559310834,,PASS
boost,Move-r,raw,m200,1.522,,7981.3,8127.6,8529.6,1.000,500,1215843,379154003114848,,PASS
boost,Move-r-RLZ,raw,m8,5.503,,3991732.0,4006705.5,4019039.6,1.924,500,1700376029,537021464512842981,,PASS
boost,Move-r-RLZ,raw,m100,5.503,,5568.3,5690.5,6304.0,1.475,500,1489409,451960559310834,,PASS
boost,Move-r-RLZ,raw,m200,5.503,,6085.6,6184.2,6431.7,1.314,500,1215843,379154003114848,,PASS
boost,Move-r-LZEnd,raw,m8,1.915,,10113604.1,10149122.4,10183372.0,0.759,500,1700376029,537021464512842981,,PASS
boost,Move-r-LZEnd,raw,m100,1.915,,11604.1,11747.8,12279.6,0.715,500,1489409,451960559310834,,PASS
boost,Move-r-LZEnd,raw,m200,1.915,,11236.7,11400.1,11658.4,0.713,500,1215843,379154003114848,,PASS
boost,Adaptive-Mixed@25%-raw,raw,m8,7.055,512,4257768.9,4261004.8,4270235.0,1.809,500,1700376029,537021464512842981,98.22,PASS
boost,Adaptive-Mixed@25%-raw,raw,m100,7.055,512,8586.9,8675.0,8774.8,0.968,500,1489409,451960559310834,22.70,PASS
boost,Adaptive-Mixed@25%-raw,raw,m200,7.055,512,8553.4,8716.6,9027.7,0.932,500,1215843,379154003114848,23.11,PASS
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,m8,4.522,512,4215052.2,4242833.3,4263872.8,1.817,500,1700376029,537021464512842981,98.22,PASS
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,m100,4.522,512,8657.6,9206.0,9578.7,0.912,500,1489409,451960559310834,22.70,PASS
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,m200,4.522,512,8785.8,9115.6,9224.9,0.892,500,1215843,379154003114848,23.11,PASS
boost,Adaptive-Mixed@12.5%-raw,raw,m8,4.748,1024,4231537.7,4252444.5,4267772.7,1.812,500,1700376029,537021464512842981,97.65,PASS
boost,Adaptive-Mixed@12.5%-raw,raw,m100,4.748,1024,8660.3,8899.4,8922.5,0.943,500,1489409,451960559310834,12.25,PASS
boost,Adaptive-Mixed@12.5%-raw,raw,m200,4.748,1024,8848.6,8999.9,9437.3,0.903,500,1215843,379154003114848,10.95,PASS
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m8,3.499,1024,4209803.8,4253219.2,4296580.7,1.812,500,1700376029,537021464512842981,97.65,PASS
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m100,3.499,1024,8733.9,9248.9,9536.3,0.908,500,1489409,451960559310834,12.25,PASS
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m200,3.499,1024,8778.4,9333.7,9933.4,0.871,500,1215843,379154003114848,10.95,PASS
einstein.en.txt,Move-r,raw,m8,6.763,,359166.1,364709.1,367453.2,1.000,500,27144122,6295065264272269,,PASS
einstein.en.txt,Move-r,raw,m100,6.763,,22422.8,22826.5,23774.2,1.000,500,1245911,290574640149514,,PASS
einstein.en.txt,Move-r,raw,m200,6.763,,20268.8,20399.2,20740.1,1.000,500,923535,218259439061919,,PASS
einstein.en.txt,Move-r-RLZ,raw,m8,22.127,,67624.4,68796.5,69313.2,5.301,500,27144122,6295065264272269,,PASS
einstein.en.txt,Move-r-RLZ,raw,m100,22.127,,7907.8,8460.5,9425.3,2.698,500,1245911,290574640149514,,PASS
einstein.en.txt,Move-r-RLZ,raw,m200,22.127,,9034.8,9482.9,9553.1,2.151,500,923535,218259439061919,,PASS
einstein.en.txt,Move-r-LZEnd,raw,m8,8.323,,340014.7,341720.5,351924.7,1.067,500,27144122,6295065264272269,,PASS
einstein.en.txt,Move-r-LZEnd,raw,m100,8.323,,22844.3,23511.6,23890.3,0.971,500,1245911,290574640149514,,PASS
einstein.en.txt,Move-r-LZEnd,raw,m200,8.323,,19968.3,21329.9,22087.2,0.956,500,923535,218259439061919,,PASS
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,m8,18.869,512,159679.1,164752.9,167625.2,2.214,500,27144122,6295065264272269,75.33,PASS
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,m100,18.869,512,21277.6,22424.1,23535.1,1.018,500,1245911,290574640149514,24.34,PASS
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,m200,18.869,512,18503.2,21031.4,21857.1,0.970,500,923535,218259439061919,31.48,PASS
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,m8,16.147,512,159078.3,161377.9,167100.4,2.260,500,27144122,6295065264272269,75.33,PASS
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,m100,16.147,512,22167.1,22618.6,23713.7,1.009,500,1245911,290574640149514,24.34,PASS
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,m200,16.147,512,19054.1,19666.2,21582.9,1.037,500,923535,218259439061919,31.48,PASS
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,m8,15.238,512,174922.5,180737.3,187032.4,2.018,500,27144122,6295065264272269,69.46,PASS
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,m100,15.238,512,23116.6,24333.4,24726.5,0.938,500,1245911,290574640149514,13.44,PASS
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,m200,15.238,512,20747.0,21133.6,21579.4,0.965,500,923535,218259439061919,13.93,PASS
einstein.en.txt,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m8,13.919,512,172875.2,177724.4,179362.2,2.052,500,27144122,6295065264272269,69.46,PASS
einstein.en.txt,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m100,13.919,512,22077.9,23070.5,24053.6,0.989,500,1245911,290574640149514,13.44,PASS
einstein.en.txt,Adaptive-Mixed@12.5%-varint-v2,varint-v2,m200,13.919,512,20051.6,20825.9,21627.5,0.980,500,923535,218259439061919,13.93,PASS
SARS-Cov-2_40,Move-r,raw,m8,3.317,,141722.6,142267.3,144744.2,1.000,500,13239368,295198668473198,,PASS
SARS-Cov-2_40,Move-r,raw,m100,3.317,,38848.7,39907.4,40781.1,1.000,500,3503621,78915017368252,,PASS
