dataset,method,codec,component,bytes,MiB
boost,Move-r,raw,size_index,1531035,1.460
boost,Move-r,raw,serialized_index_file,1596195,1.522
boost,Move-r-RLZ,raw,size_index,5705349,5.441
boost,Move-r-RLZ,raw,size_r,1279580,1.220
boost,Move-r-RLZ,raw,serialized_index_file,5770286,5.503
boost,Move-r-LZEnd,raw,size_index,1943369,1.853
boost,Move-r-LZEnd,raw,serialized_index_file,2007586,1.915
boost,Adaptive-Mixed@25%-raw,raw,size_index,8212215,7.832
boost,Adaptive-Mixed@25%-raw,raw,size_r,1065432,1.016
boost,Adaptive-Mixed@25%-raw,raw,size_partial_offsets,614408,0.586
boost,Adaptive-Mixed@25%-raw,raw,size_partial_offsets_varint,153602,0.146
boost,Adaptive-Mixed@25%-raw,raw,size_partial_copy_offsets,614408,0.586
boost,Adaptive-Mixed@25%-raw,raw,size_partial_copy_offsets_varint,153602,0.146
boost,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets,614408,0.586
boost,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets_varint,153602,0.146
boost,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids,614404,0.586
boost,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids_varint,154302,0.147
boost,Adaptive-Mixed@25%-raw,raw,size_partial_pt,337938,0.322
boost,Adaptive-Mixed@25%-raw,raw,size_partial_pt_bitvector,42243,0.040
boost,Adaptive-Mixed@25%-raw,raw,size_partial_cpl,527200,0.503
boost,Adaptive-Mixed@25%-raw,raw,size_partial_cpl_varint,498794,0.476
boost,Adaptive-Mixed@25%-raw,raw,size_partial_sr,1054400,1.006
boost,Adaptive-Mixed@25%-raw,raw,size_partial_sr_varint,565027,0.539
boost,Adaptive-Mixed@25%-raw,raw,size_partial_lp,297352,0.284
boost,Adaptive-Mixed@25%-raw,raw,size_hybrid_m_phim1,707750,0.675
boost,Adaptive-Mixed@25%-raw,raw,serialized_index_file,7397770,7.055
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_index,8212215,7.832
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_r,1065432,1.016
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets,614408,0.586
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets_varint,153602,0.146
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets,614408,0.586
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets_varint,153602,0.146
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets,614408,0.586
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets_varint,153602,0.146
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids,614404,0.586
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids_varint,154302,0.147
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt,337938,0.322
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt_bitvector,42243,0.040
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl,527200,0.503
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl_varint,498794,0.476
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr,1054400,1.006
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr_varint,565027,0.539
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_lp,297352,0.284
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,size_hybrid_m_phim1,707750,0.675
boost,Adaptive-Mixed@25%-varint-v2,varint-v2,serialized_index_file,4741838,4.522
boost,Adaptive-Mixed@12.5%-raw,raw,size_index,5715911,5.451
boost,Adaptive-Mixed@12.5%-raw,raw,size_r,1031388,0.984
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets,307208,0.293
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets_varint,76802,0.073
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets,307208,0.293
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets_varint,76802,0.073
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets,307208,0.293
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets_varint,76802,0.073
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids,307204,0.293
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids_varint,77101,0.074
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt,161948,0.154
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt_bitvector,20244,0.019
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl,250524,0.239
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl_varint,238305,0.227
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr,501048,0.478
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr_varint,267232,0.255
boost,Adaptive-Mixed@12.5%-raw,raw,size_partial_lp,146744,0.140
boost,Adaptive-Mixed@12.5%-raw,raw,size_hybrid_m_phim1,707750,0.675
boost,Adaptive-Mixed@12.5%-raw,raw,serialized_index_file,4978300,4.748
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_index,5715911,5.451
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_r,1031388,0.984
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_offsets,307208,0.293
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_offsets_varint,76802,0.073
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_copy_offsets,307208,0.293
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_copy_offsets_varint,76802,0.073
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_literal_offsets,307208,0.293
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_literal_offsets_varint,76802,0.073
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_block_ids,307204,0.293
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_block_ids_varint,77101,0.074
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_pt,161948,0.154
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_pt_bitvector,20244,0.019
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_cpl,250524,0.239
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_cpl_varint,238305,0.227
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_sr,501048,0.478
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_sr_varint,267232,0.255
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_partial_lp,146744,0.140
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,size_hybrid_m_phim1,707750,0.675
boost,Adaptive-Mixed@12.5%-varint-v2,varint-v2,serialized_index_file,3669302,3.499
einstein.en.txt,Move-r,raw,size_index,6644230,6.336
einstein.en.txt,Move-r,raw,serialized_index_file,7091303,6.763
einstein.en.txt,Move-r-RLZ,raw,size_index,22755274,21.701
einstein.en.txt,Move-r-RLZ,raw,size_r,6023024,5.744
einstein.en.txt,Move-r-RLZ,raw,serialized_index_file,23202124,22.127
einstein.en.txt,Move-r-LZEnd,raw,size_index,8281306,7.898
einstein.en.txt,Move-r-LZEnd,raw,serialized_index_file,8727436,8.323
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_index,21839468,20.828
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_r,5577828,5.319
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_offsets,456672,0.436
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_offsets_varint,114306,0.109
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_copy_offsets,456672,0.436
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_copy_offsets_varint,114169,0.109
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets,456672,0.436
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_literal_offsets_varint,114299,0.109
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids,456668,0.436
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_block_ids_varint,114824,0.110
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_pt,828223,0.790
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_pt_bitvector,103528,0.099
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_cpl,853640,0.814
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_cpl_varint,665234,0.634
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_sr,1707280,1.628
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_sr_varint,1134709,1.082
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_partial_lp,1605612,1.531
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,size_hybrid_m_phim1,2786429,2.657
einstein.en.txt,Adaptive-Mixed@25%-raw,raw,serialized_index_file,19785616,18.869
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_index,21839468,20.828
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_r,5577828,5.319
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets,456672,0.436
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_offsets_varint,114306,0.109
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets,456672,0.436
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_copy_offsets_varint,114169,0.109
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets,456672,0.436
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_literal_offsets_varint,114299,0.109
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids,456668,0.436
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_block_ids_varint,114824,0.110
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt,828223,0.790
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_pt_bitvector,103528,0.099
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl,853640,0.814
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_cpl_varint,665234,0.634
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr,1707280,1.628
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_sr_varint,1134709,1.082
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_partial_lp,1605612,1.531
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,size_hybrid_m_phim1,2786429,2.657
einstein.en.txt,Adaptive-Mixed@25%-varint-v2,varint-v2,serialized_index_file,16930920,16.147
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_index,18004128,17.170
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_r,5429012,5.178
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets,228340,0.218
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_offsets_varint,57099,0.054
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets,228340,0.218
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_copy_offsets_varint,57085,0.054
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets,228340,0.218
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_literal_offsets_varint,57096,0.054
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids,228336,0.218
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_block_ids_varint,57853,0.055
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt,364979,0.348
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_pt_bitvector,45623,0.044
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl,424368,0.405
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_cpl_varint,330528,0.315
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr,848736,0.809
einstein.en.txt,Adaptive-Mixed@12.5%-raw,raw,size_partial_sr_varint,563191,0.537
