dataset,budget,method,codec,component,bytes,MiB,relative_to_r_rlzsa_percent
boost,25,r-RLZSA,raw,block_ids,614404,0.586,100.00
boost,25,r-RLZSA,raw,SR,1054400,1.006,100.00
boost,25,r-RLZSA,raw,offsets,1843224,1.758,100.00
boost,25,r-RLZSA,raw,PT,337938,0.322,100.00
boost,25,r-RLZSA,raw,CPL,527200,0.503,100.00
boost,25,r-RLZSA,raw,LP,297352,0.284,100.00
boost,25,r-RLZSA,raw,reference,1065432,1.016,100.00
boost,25,r-RLZSA,raw,Phi_fallback,707750,0.675,100.00
boost,25,r-RLZSA,raw,Other(serialized),950070,0.906,
boost,25,Vr-RLZSA-v1,v1,block_ids,154302,0.147,25.11
boost,25,Vr-RLZSA-v1,v1,SR,565027,0.539,53.59
boost,25,Vr-RLZSA-v1,v1,offsets,1843224,1.758,100.00
boost,25,Vr-RLZSA-v1,v1,PT,337938,0.322,100.00
boost,25,Vr-RLZSA-v1,v1,CPL,527200,0.503,100.00
boost,25,Vr-RLZSA-v1,v1,LP,297352,0.284,100.00
boost,25,Vr-RLZSA-v1,v1,reference,1065432,1.016,100.00
boost,25,Vr-RLZSA-v1,v1,Phi_fallback,707750,0.675,100.00
boost,25,Vr-RLZSA-v1,v1,Other(serialized),950092,0.906,
boost,25,Vr-RLZSA-v2,v2,block_ids,154302,0.147,25.11
boost,25,Vr-RLZSA-v2,v2,SR,565027,0.539,53.59
boost,25,Vr-RLZSA-v2,v2,offsets,460806,0.439,25.00
boost,25,Vr-RLZSA-v2,v2,PT,42243,0.040,12.50
boost,25,Vr-RLZSA-v2,v2,CPL,498794,0.476,94.61
boost,25,Vr-RLZSA-v2,v2,LP,297352,0.284,100.00
boost,25,Vr-RLZSA-v2,v2,reference,1065432,1.016,100.00
boost,25,Vr-RLZSA-v2,v2,Phi_fallback,707750,0.675,100.00
boost,25,Vr-RLZSA-v2,v2,Other(serialized),950132,0.906,
boost,12.5,r-RLZSA,raw,block_ids,307204,0.293,100.00
boost,12.5,r-RLZSA,raw,SR,501048,0.478,100.00
boost,12.5,r-RLZSA,raw,offsets,921624,0.879,100.00
boost,12.5,r-RLZSA,raw,PT,161948,0.154,100.00
boost,12.5,r-RLZSA,raw,CPL,250524,0.239,100.00
boost,12.5,r-RLZSA,raw,LP,146744,0.140,100.00
boost,12.5,r-RLZSA,raw,reference,1031388,0.984,100.00
boost,12.5,r-RLZSA,raw,Phi_fallback,707750,0.675,100.00
boost,12.5,r-RLZSA,raw,Other(serialized),950070,0.906,
boost,12.5,Vr-RLZSA-v1,v1,block_ids,77101,0.074,25.10
boost,12.5,Vr-RLZSA-v1,v1,SR,267232,0.255,53.33
boost,12.5,Vr-RLZSA-v1,v1,offsets,921624,0.879,100.00
boost,12.5,Vr-RLZSA-v1,v1,PT,161948,0.154,100.00
boost,12.5,Vr-RLZSA-v1,v1,CPL,250524,0.239,100.00
boost,12.5,Vr-RLZSA-v1,v1,LP,146744,0.140,100.00
boost,12.5,Vr-RLZSA-v1,v1,reference,1031388,0.984,100.00
boost,12.5,Vr-RLZSA-v1,v1,Phi_fallback,707750,0.675,100.00
boost,12.5,Vr-RLZSA-v1,v1,Other(serialized),950092,0.906,
boost,12.5,Vr-RLZSA-v2,v2,block_ids,77101,0.074,25.10
boost,12.5,Vr-RLZSA-v2,v2,SR,267232,0.255,53.33
boost,12.5,Vr-RLZSA-v2,v2,offsets,230406,0.220,25.00
