dataset,budget,method,codec,workload,ns_per_pattern_median,ns_per_pattern_min,ns_per_pattern_max,speed_relative_to_r_rlzsa,num_occurrences,occurrence_checksum,correctness
boost,25,r-RLZSA,raw,m8,4261004.8,4257768.9,4270235.0,1.000,1700376029,537021464512842981,PASS
boost,25,r-RLZSA,raw,m100,8675.0,8586.9,8774.8,1.000,1489409,451960559310834,PASS
boost,25,r-RLZSA,raw,m200,8716.6,8553.4,9027.7,1.000,1215843,379154003114848,PASS
boost,25,Vr-RLZSA-v1,v1,m8,4261657.7,4228894.1,4298187.8,1.000,1700376029,537021464512842981,PASS
boost,25,Vr-RLZSA-v1,v1,m100,8941.9,8807.2,9341.8,0.970,1489409,451960559310834,PASS
boost,25,Vr-RLZSA-v1,v1,m200,9265.8,8930.2,9374.7,0.941,1215843,379154003114848,PASS
boost,25,Vr-RLZSA-v2,v2,m8,4242833.3,4215052.2,4263872.8,1.004,1700376029,537021464512842981,PASS
boost,25,Vr-RLZSA-v2,v2,m100,9206.0,8657.6,9578.7,0.942,1489409,451960559310834,PASS
boost,25,Vr-RLZSA-v2,v2,m200,9115.6,8785.8,9224.9,0.956,1215843,379154003114848,PASS
boost,12.5,r-RLZSA,raw,m8,4252444.5,4231537.7,4267772.7,1.000,1700376029,537021464512842981,PASS
boost,12.5,r-RLZSA,raw,m100,8899.4,8660.3,8922.5,1.000,1489409,451960559310834,PASS
boost,12.5,r-RLZSA,raw,m200,8999.9,8848.6,9437.3,1.000,1215843,379154003114848,PASS
boost,12.5,Vr-RLZSA-v1,v1,m8,4227165.6,4205562.2,4255855.2,1.006,1700376029,537021464512842981,PASS
boost,12.5,Vr-RLZSA-v1,v1,m100,9769.8,9687.9,9866.0,0.911,1489409,451960559310834,PASS
boost,12.5,Vr-RLZSA-v1,v1,m200,9435.3,9279.4,10246.7,0.954,1215843,379154003114848,PASS
boost,12.5,Vr-RLZSA-v2,v2,m8,4253219.2,4209803.8,4296580.7,1.000,1700376029,537021464512842981,PASS
boost,12.5,Vr-RLZSA-v2,v2,m100,9248.9,8733.9,9536.3,0.962,1489409,451960559310834,PASS
boost,12.5,Vr-RLZSA-v2,v2,m200,9333.7,8778.4,9933.4,0.964,1215843,379154003114848,PASS
einstein.en.txt,25,r-RLZSA,raw,m8,164752.9,159679.1,167625.2,1.000,27144122,6295065264272269,PASS
einstein.en.txt,25,r-RLZSA,raw,m100,22424.1,21277.6,23535.1,1.000,1245911,290574640149514,PASS
einstein.en.txt,25,r-RLZSA,raw,m200,21031.4,18503.2,21857.1,1.000,923535,218259439061919,PASS
einstein.en.txt,25,Vr-RLZSA-v1,v1,m8,158057.5,156060.5,160663.9,1.042,27144122,6295065264272269,PASS
einstein.en.txt,25,Vr-RLZSA-v1,v1,m100,21470.7,20859.6,23139.2,1.044,1245911,290574640149514,PASS
einstein.en.txt,25,Vr-RLZSA-v1,v1,m200,20091.5,18202.5,20449.6,1.047,923535,218259439061919,PASS
einstein.en.txt,25,Vr-RLZSA-v2,v2,m8,161377.9,159078.3,167100.4,1.021,27144122,6295065264272269,PASS
einstein.en.txt,25,Vr-RLZSA-v2,v2,m100,22618.6,22167.1,23713.7,0.991,1245911,290574640149514,PASS
einstein.en.txt,25,Vr-RLZSA-v2,v2,m200,19666.2,19054.1,21582.9,1.069,923535,218259439061919,PASS
einstein.en.txt,12.5,r-RLZSA,raw,m8,180737.3,174922.5,187032.4,1.000,27144122,6295065264272269,PASS
einstein.en.txt,12.5,r-RLZSA,raw,m100,24333.4,23116.6,24726.5,1.000,1245911,290574640149514,PASS
einstein.en.txt,12.5,r-RLZSA,raw,m200,21133.6,20747.0,21579.4,1.000,923535,218259439061919,PASS
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,m8,177789.0,175021.4,181427.9,1.017,27144122,6295065264272269,PASS
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,m100,23152.5,22815.4,23909.6,1.051,1245911,290574640149514,PASS
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,m200,21720.8,20327.1,22396.2,0.973,923535,218259439061919,PASS
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,m8,177724.4,172875.2,179362.2,1.017,27144122,6295065264272269,PASS
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,m100,23070.5,22077.9,24053.6,1.055,1245911,290574640149514,PASS
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,m200,20825.9,20051.6,21627.5,1.015,923535,218259439061919,PASS
SARS-Cov-2_40,25,r-RLZSA,raw,m8,55236.1,53562.3,56017.4,1.000,13239368,295198668473198,PASS
SARS-Cov-2_40,25,r-RLZSA,raw,m100,22018.9,21641.5,22086.8,1.000,3503621,78915017368252,PASS
SARS-Cov-2_40,25,r-RLZSA,raw,m200,17300.8,16749.9,18071.9,1.000,1563009,35441315845439,PASS
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,m8,53688.8,53334.2,54418.4,1.029,13239368,295198668473198,PASS
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,m100,21114.4,20705.7,21815.7,1.043,3503621,78915017368252,PASS
